127.0.0.1 - - [08/Apr/2019:09:15:44 +0200] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:15:44 +0200] "GET /MyTravel/ HTTP/1.1" 200 4069
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:15:44 +0200] "GET /MyTravel/javax.faces.resource/stack/stack.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:15:44 +0200] "GET /MyTravel/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:15:44 +0200] "GET /MyTravel/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:15:44 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:15:44 +0200] "GET /MyTravel/javax.faces.resource/stack/stack.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:15:44 +0200] "GET /MyTravel/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:15:44 +0200] "GET /MyTravel/globe.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:15:44 +0200] "GET /MyTravel/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:15:45 +0200] "GET /MyTravel/avion.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:15:45 +0200] "GET /MyTravel/contact.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:18:12 +0200] "GET /MyTravel/infos.xhtml HTTP/1.1" 200 8219
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:18:12 +0200] "GET /MyTravel/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:18:12 +0200] "GET /MyTravel/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:18:12 +0200] "GET /MyTravel/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:18:12 +0200] "GET /MyTravel/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:18:12 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:18:12 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:18:12 +0200] "GET /MyTravel/logo0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:18:12 +0200] "GET /MyTravel/promo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:18:12 +0200] "GET /MyTravel/quisommesnous1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2019:09:18:12 +0200] "GET /MyTravel/nuages.jpg HTTP/1.1" 304 -
